name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
Mercedes_Benz_E_220_T_CDI_TÜV_neu,privat,Angebot,2700,control,,2018,automatik,0,e_klasse,150000,8,diesel,mercedes_benz,
Auto_shon_TÜV_mit_04_2017,privat,Angebot,2099,control,,2017,,184,andere,150000,0,,bmw,
BMW_E36_316i_Compact_1_9,privat,Angebot,1500,control,,2018,manuell,0,3er,150000,0,benzin,bmw,
Opel_Corsa___Bj_2005,privat,Angebot,1650,control,,2017,manuell,60,corsa,125000,7,,opel,
1.8T_TÜV_Klima,privat,Angebot,1100,control,,2017,,0,a3,150000,5,,audi,
BMW_320i_Cabrio__E36,privat,Angebot,4900,control,,2017,manuell,150,3er,150000,1,,bmw,nein
BMW_318CI_E46_Coupe,privat,Angebot,4799,control,,2017,manuell,143,3er,150000,6,benzin,bmw,nein
VERKAUF/TAUSCHE_Top_Golf_4!!,privat,Angebot,0,control,,2017,manuell,105,golf,150000,0,benzin,volkswagen,
T4_Multivan_Benzin_2_5l_Automatik__Womo_,privat,Angebot,4800,control,,2017,automatik,110,transporter,150000,0,benzin,volkswagen,
Seat_Ibiza_1_2_TDI__Reference__5_tuerig__Klima__Top_Zustand,privat,Angebot,8790,control,,2018,manuell,0,ibiza,40000,1,diesel,seat,nein
Suzuki_Vitara_TÜV_4x4_Allrad,privat,Angebot,1599,control,,2017,manuell,0,,150000,0,benzin,suzuki,nein
Renault_Scenic_Bj_2002,privat,Angebot,1150,control,,2017,manuell,107,scenic,150000,7,,renault,
Vw_Golf_3_mit_TÜV,privat,Angebot,700,control,,2018,,75,golf,5000,11,benzin,volkswagen,
Verkaufe_Passat_3bg,privat,Angebot,3000,control,,2017,manuell,101,passat,150000,10,diesel,volkswagen,nein
Honda_Crx_Del_Sol_tuev_03_2018,privat,Angebot,1300,control,,2018,,0,cr_reihe,150000,6,benzin,honda,nein
Focus_1.6_klima_Wenig_Kilometer__mit_tuev_8fach_bereift,privat,Angebot,3333,control,,2018,manuell,101,focus,100000,4,,ford,nein
Passat_Variant_3bg1.9Tdi_251000km_9/2004,privat,Angebot,1800,control,,2017,manuell,131,passat,150000,9,,volkswagen,ja
Renault_Twingo,privat,Angebot,890,control,,2018,manuell,0,twingo,125000,0,benzin,renault,
C_180_zu_verkaufen,privat,Angebot,1350,control,,2017,manuell,0,c_klasse,150000,0,,mercedes_benz,
Opel_corsa_B_automatik_1.4_beziner_Tuev_bis_2018_Neu_Auto_Top!,privat,Angebot,1250,control,,2018,automatik,0,corsa,125000,0,,opel,
Omega_B_Caravan_3_0_V6__18_Monate_TÜV,privat,Angebot,1199,control,,2017,automatik,211,,150000,4,,opel,
Smart_for_two_2002,privat,Angebot,2350,control,,2018,,0,fortwo,125000,5,benzin,smart,nein
Mercedes_307D_Feuerwehr,privat,Angebot,5000,control,,2018,manuell,0,sprinter,40000,8,diesel,mercedes_benz,nein
A_klasse_160_mit_TÜV_nicht_fahrbereit,privat,Angebot,400,control,,2017,,0,a_klasse,150000,6,benzin,mercedes_benz,ja
Golf_4_TÜV_8/17,privat,Angebot,1250,control,,2017,manuell,0,golf,150000,5,benzin,volkswagen,
Opel_Meriva_1.6_KLIMA_SERVO,privat,Angebot,1890,control,,2017,manuell,86,meriva,125000,9,benzin,opel,
Kia_Rio_II_Baujahr_2005,privat,Angebot,1499,control,,2017,manuell,97,rio,90000,10,benzin,kia,
Bmw_740i_E38,privat,Angebot,2499,control,,2017,automatik,286,,150000,0,benzin,bmw,nein
Citroen_picasso,privat,Angebot,3300,control,,2018,manuell,90,andere,5000,5,,citroen,ja
Fiat_Ducato,privat,Angebot,4200,control,,2017,manuell,0,ducato,150000,6,,fiat,
VW_Polo_an_Bastler_zu_verkaufen,privat,Angebot,500,control,,2017,,0,polo,150000,0,benzin,volkswagen,
Golf_2_1.6_Automatik,privat,Angebot,349,control,,2017,automatik,70,golf,150000,1,,volkswagen,ja
Volkswagen_Sharan__derzeit_reserviert_,privat,Angebot,2100,control,,2018,manuell,140,sharan,150000,12,,volkswagen,ja
Opel_Astra_2.0_DTI_Sportive_Reserviert_bis_18:30Uhr,privat,Angebot,2999,control,,2017,manuell,101,astra,80000,5,,opel,nein
Opel_Corsa_C,privat,Angebot,2500,control,,2017,automatik,75,corsa,125000,8,benzin,opel,
Familie_Auto,privat,Angebot,4000,control,,2017,manuell,116,sharan,150000,0,diesel,volkswagen,
T4_Projekt_2_mit_2_jahren_frischem_Tuev_und_LPG_Anlage,privat,Angebot,5490,control,,2018,manuell,110,transporter,150000,10,benzin,volkswagen,nein
Peugeot_807_mit_60tausen_Kilometer_Mottor,privat,Angebot,0,control,,2018,manuell,0,,150000,12,benzin,peugeot,
Fiat_stilo_TÜV_2017_September,privat,Angebot,1650,control,,2017,manuell,0,stilo,70000,10,benzin,fiat,
VW_GOLF_4_1.6_SR_+_AHK_+TÜV_04_/_2017,privat,Angebot,1150,control,,2017,,101,golf,150000,8,,volkswagen,
Volvo__Arbeitsraum_unverwuestlich,privat,Angebot,1800,control,,2018,manuell,144,v40,20000,1,,volvo,ja
Tolles_Auto,privat,Angebot,3900,control,,2017,manuell,108,c_max,150000,1,,ford,nein
Verkaufe_renault_kangoo_1_6_16V_94000_km,privat,Angebot,2500,control,,2017,manuell,0,kangoo,100000,11,,renault,nein
VW_Passat_3B_Variant_2.8_V6_Syncro_TÜV_NEU,privat,Angebot,2350,control,,2018,manuell,193,passat,150000,9,,volkswagen,nein
Mazda_Mx5_Cabrio_NA_tuev/au_Neu_!!_Yountimer_Preis:_2.900_€,privat,Angebot,2850,control,,2017,manuell,0,andere,150000,0,,mazda,
AUDI_A3_1.8_5V_TURBO_Mit_Tuev,privat,Angebot,650,control,,2017,,0,a3,150000,0,benzin,audi,
Audi_A4_sline_180ps,privat,Angebot,6900,control,,2017,automatik,180,a4,150000,11,diesel,audi,
Audi_a4_b6_e8_s_packet_bj_03,privat,Angebot,3899,control,,2017,manuell,163,a4,150000,0,,audi,ja
BMW_118d_DPF_Leder__Xenon__SH__PDC_TÜV_&_Service_NEU,privat,Angebot,8800,control,,2018,manuell,143,1er,150000,7,diesel,bmw,nein
Citroen_C2_1.2,privat,Angebot,2300,control,,2017,manuell,68,c2,150000,9,benzin,citroen,
Verkaufe_Golf_V_United,privat,Angebot,8000,control,,2018,manuell,0,golf,150000,9,diesel,volkswagen,
Schlachtfest_Mercedes_A190_Autom._Leder__95000km_Bitte_lesen!,privat,Angebot,100,control,,2018,automatik,125,a_klasse,100000,0,benzin,mercedes_benz,ja
Too_Polo_zu_verkaufen,privat,Angebot,820,control,,2017,,75,polo,100000,0,,volkswagen,nein
Top_opel_mit_TÜV_bis_2017,privat,Angebot,800,control,,2017,manuell,75,astra,150000,6,,opel,nein
Opel_Corsa_C_Klimaanlage_TÜV_neu,privat,Angebot,950,control,,2018,manuell,54,corsa,150000,4,benzin,opel,
golf_4_1_8_tuev_2/2018,privat,Angebot,1800,control,,2018,manuell,0,,150000,6,benzin,volkswagen,nein
BMW_116i_/_Top_Zustand,privat,Angebot,5500,control,,2018,manuell,116,1er,150000,12,benzin,bmw,
Verkaufe_vw_touran_1.9_TDI_DSG,privat,Angebot,4000,control,,2017,automatik,0,,150000,4,diesel,volkswagen,nein
Fiat_Ducato_2.3_JTD,privat,Angebot,2999,control,,2017,manuell,0,ducato,150000,0,,fiat,nein
Nue_tuf_auto_perfek,privat,Angebot,1000,control,,2018,automatik,0,astra,150000,0,benzin,opel,
POLO_6n_Top_Anfaenger_Auto,privat,Angebot,1200,control,,2017,,0,polo,150000,0,benzin,volkswagen,
Mercedes_a190_w168,privat,Angebot,1400,control,,2017,manuell,125,a_klasse,150000,5,,mercedes_benz,
Bmw_e46_Touring_320d_Facelift_150_ps_Ahk_Tempomat_Klima,privat,Angebot,4399,control,,2017,manuell,150,,150000,12,,bmw,nein
Zu_verkaufen.Citroën.C8.2.2_diesel.mit_Tuv_06.2017,privat,Angebot,2500,control,,2017,manuell,0,andere,150000,4,diesel,citroen,
Golf_3_III_VR6_2.8_Klima__Schiebedach__ueberholt__BBS_TÜV_2017,privat,Angebot,2000,control,,2017,manuell,174,golf,150000,0,,volkswagen,nein
Top_Golf_4_mit_20_Monaten_Tuev,privat,Angebot,0,control,,2017,manuell,750,,150000,8,benzin,smart,nein
Renault_megane_1_4l_16v_8_Fach_bereift_in_topp_Zustand,privat,Angebot,1499,control,,2017,manuell,95,megane,150000,9,benzin,renault,
Verkaufe_Volvo_v40_TÜV_bis_Juni_2017,privat,Angebot,575,control,,2017,manuell,140,v40,150000,6,,volvo,
Grande_Punto_1.4_8V_Start_Fiat_TÜV,privat,Angebot,3333,control,,2018,manuell,77,punto,60000,3,benzin,fiat,
Audi_a5__2.0tdi_Topf_Zustand_facelift,privat,Angebot,19300,control,,2017,manuell,143,,125000,4,,audi,nein
Toyota_Auris__Diesel_AHK_Unfallfrei,privat,Angebot,6500,control,,2017,manuell,126,auris,125000,2,,toyota,nein
Volkswagen_New_Beetle_1.6_|_Klima___Sitzheizung___Garagenwagen,privat,Angebot,8950,control,,2017,manuell,102,beetle,80000,3,benzin,volkswagen,
VW_T4_Eurovan_aus_Amerika,privat,Angebot,10700,control,,2018,manuell,151,transporter,150000,11,,volkswagen,nein
Dacia_Logan_1_4,privat,Angebot,2650,control,,2017,manuell,75,logan,100000,9,,dacia,
Ford_Ka_TÜV_/_AU_Neu,privat,Angebot,1300,control,,2018,,0,ka,125000,0,,ford,nein
Seat_Exeo_2.0_TDI_CR_Sport_im_Topzustand_+_Extras,privat,Angebot,8300,control,,2017,manuell,170,exeo,150000,7,diesel,seat,nein
Top_bmw_voll_navi_18_zoll,privat,Angebot,3900,control,,2017,,193,,150000,0,benzin,bmw,
Sparsames_schoenes__Smart._MCC_Diesel.Tuev_07_2017,privat,Angebot,1450,control,,2017,automatik,0,,150000,7,diesel,smart,nein
W114_115__Coupe__280c,privat,Angebot,4111,control,,2017,manuell,0,,150000,8,,mercedes_benz,ja
Ford_Fiesta_1.3_TÜV_November_2017,privat,Angebot,1000,control,,2017,manuell,60,fiesta,150000,0,benzin,ford,
Bmw_E36_316i_compact_1_5_Jahre_TÜV,privat,Angebot,1100,control,,2017,manuell,102,,150000,9,,bmw,
Verkaufe_gepfleges_und_Top_Auto_mit_tuev_bis_8_2017,privat,Angebot,1100,control,,2017,manuell,75,astra,150000,8,benzin,opel,nein
TÜV_neu___DIESEL_2.0,privat,Angebot,1000,control,,2018,manuell,82,astra,150000,6,,opel,nein
Golf_4_gti_1.8T___no_vr_v5_r32_,privat,Angebot,3100,control,,2017,manuell,200,golf,150000,4,,volkswagen,nein
BMW_318i_schwarz,privat,Angebot,3650,control,,2017,manuell,140,andere,150000,5,,bmw,nein
E46_318ti_Compact_silber_Automatik_ca._170000km_tausch_moeglich,privat,Angebot,3500,control,,2017,automatik,143,3er,150000,12,benzin,bmw,nein
*Renault_Scenic_1.9_dCi_Exception*,privat,Angebot,3800,control,,2017,manuell,110,scenic,150000,10,diesel,renault,nein
Golf_5_Gti_mit_nur_60.000tkm,privat,Angebot,11500,control,,2018,manuell,200,golf,60000,0,benzin,volkswagen,nein
Ford_Mondeo_Tuev_2017,privat,Angebot,800,control,,2017,manuell,125,mondeo,150000,3,benzin,ford,
Mercedes_Benz_Avantgarde_E_220_CDI_DPF,privat,Angebot,10500,control,,2017,automatik,150,e_klasse,125000,4,,mercedes_benz,nein
Ford_C_Max_Diesel_Klima_Scheckheft,privat,Angebot,9500,control,,2017,manuell,95,c_max,90000,8,diesel,ford,
Hyundai_Atos_86000_Km_TÜV_Au_Neu,privat,Angebot,1750,control,,2018,manuell,54,andere,90000,3,,hyundai,nein
Motor_ohne_Beschaedigung_Vectra_a__aus_92,privat,Angebot,680,control,,2017,automatik,90,,80000,0,,opel,ja
Mazda_2_1.4_Activ_Scheckheft_Gepflegt,privat,Angebot,3990,control,,2017,manuell,81,andere,60000,1,,mazda,nein
Gepflegter_VW_Passat_3bg_Variant_1.6l_Tuev_neu,privat,Angebot,3300,control,,2018,manuell,102,passat,150000,4,,volkswagen,nein
Polo_9n_1.4_TDI_3_Tuerer_75PS_Klima,privat,Angebot,1300,control,,2017,manuell,0,polo,150000,1,diesel,volkswagen,
Lancia_ypsilon_twin_air_platinum__magic_parking_,privat,Angebot,6790,control,,2017,manuell,85,ypsilon,50000,7,,lancia,
Seat_Arosa_1.0_mpi,privat,Angebot,980,control,,2017,manuell,0,arosa,150000,7,benzin,seat,nein
Alfa_147_1.9_16v_jtd_tuning,privat,Angebot,2499,control,,2017,manuell,185,,150000,9,,alfa_romeo,nein
Hyundai_Getz_1__6_Sport_Sonderedition,privat,Angebot,3890,control,,2018,manuell,106,getz,125000,4,benzin,hyundai,
Ford_Fusion_Bj_2002__156000_km__TÜV_bis_01/2018,privat,Angebot,1850,control,,2018,manuell,100,fusion,150000,0,benzin,ford,
VW_polo_6n_TÜV_Neu_5_Tueren,privat,Angebot,899,control,,2018,,0,polo,150000,7,benzin,volkswagen,nein
Schoener_Opel_Astra,privat,Angebot,1200,control,,2017,,0,astra,150000,0,benzin,opel,nein
Volvo_s60_super_schoenes_Auto_mit_toller_Ausstattung,privat,Angebot,15000,control,,2017,automatik,163,s60,100000,9,diesel,volvo,
Sehr_gut_erhaltendes_Megane,privat,Angebot,800,control,,2017,automatik,0,megane,125000,0,benzin,renault,
Hyundai_Getz_1.6_Sport_Sonderedition,privat,Angebot,3890,control,,2018,manuell,106,getz,125000,4,benzin,hyundai,ja
Mini_Cooper_R50_TÜV_Juni/2017,privat,Angebot,4500,control,,2017,manuell,116,cooper,150000,6,benzin,mini,nein
Zu_Verkaufen,privat,Angebot,475,control,,2017,manuell,0,punto,150000,0,benzin,fiat,
Mercedes_C_180_Top_gepflegt,privat,Angebot,3349,control,,2017,automatik,129,c_klasse,150000,0,,mercedes_benz,
Opel_Corsa_B_1.4_Klima,privat,Angebot,860,control,,2017,manuell,60,corsa,150000,0,benzin,opel,
Opel_Astra_1_6__100_Jahre_Edition_Klima_____Automatik_TÜV_neu,privat,Angebot,1290,control,,2018,automatik,101,astra,150000,3,,opel,nein
BMW_X5_xDrive35d_M_Sportpaket_Vollausstattung,privat,Angebot,26900,control,,2017,automatik,286,x_reihe,150000,11,diesel,bmw,nein
Renault_Twingo,privat,Angebot,1200,control,,2017,manuell,58,twingo,150000,3,benzin,renault,
Rentner_Golf_3_BluetoothFreisprech_USB/CD_4tuerig_SV_ZV_Airbag_TÜV,privat,Angebot,1250,control,,2017,manuell,60,golf,5000,9,benzin,volkswagen,nein
Seat_Alhambra,privat,Angebot,2900,control,,2017,,116,alhambra,150000,7,diesel,seat,
Volkswagen_Golf_4_1.8T_GTI,privat,Angebot,3500,control,,2018,manuell,194,golf,150000,2,benzin,volkswagen,
Seat_ibiza,privat,Angebot,300,control,,2017,manuell,0,ibiza,5000,0,benzin,seat,ja
E38_730iL_V8_1995,privat,Angebot,3500,control,,2017,automatik,0,7er,150000,8,benzin,bmw,
VW_Golf_6__schwarz__1_4l__Klima,privat,Angebot,7400,control,,2018,manuell,80,golf,70000,8,benzin,volkswagen,
Volkswagen_T4_Caravelle_2.5_TDI_Xenon_Leder,privat,Angebot,13500,control,,2018,manuell,102,transporter,150000,8,diesel,volkswagen,nein
Vw_Passat_1_8_liter,privat,Angebot,490,control,,2017,,90,passat,150000,2,benzin,volkswagen,nein
VW_Polo_6n2_mit_TÜV!_!!,privat,Angebot,2000,control,,2017,manuell,58,polo,150000,10,,volkswagen,
Renault_Megane_1.9_dci_Keyless_go_super_sparsam,privat,Angebot,1600,control,,2018,manuell,120,megane,150000,11,,renault,nein
Nissan_Navara_DPF_Autm._Platinum,privat,Angebot,22990,control,,2017,automatik,190,navara,50000,3,diesel,nissan,
Opel_Astra_F_CC__1996,privat,Angebot,400,control,,2017,manuell,70,astra,150000,10,benzin,opel,
Golf_5_1.4__TÜV_Neu_Zahnriemen_Neu,privat,Angebot,3499,control,,2018,manuell,75,golf,150000,1,,volkswagen,
Opel_signum_3.0_CDTI_full_Ausstattung_navi_xenon,privat,Angebot,3850,control,,2018,automatik,200,signum,150000,9,,opel,
Renault_clio_II,privat,Angebot,500,control,,2017,manuell,0,clio,150000,5,benzin,renault,nein
Vectra_c_2._Hand_tuev_neu,privat,Angebot,1999,control,,2018,manuell,147,vectra,150000,5,benzin,opel,nein
Pontiac_rostfrei_in_gutem_Zustand,privat,Angebot,10999,control,,2018,automatik,0,,150000,6,benzin,sonstige_autos,nein
corsa_suchen,privat,Angebot,1500,control,,2017,,0,fox,150000,0,,volkswagen,
Seat_ibiza,privat,Angebot,1600,control,,2017,manuell,64,ibiza,150000,1,,seat,nein
Schlacht_Fahrzeug,privat,Angebot,450,control,,2017,automatik,150,espace,5000,0,,renault,ja
C_2_aus_1.Hand_Scheckheft_zu_100%_Klima_erst_85_Tkm,privat,Angebot,3450,control,,2017,manuell,60,c2,90000,0,benzin,citroen,nein
Nissan_Almera_N16_nur_noch_heute._...,privat,Angebot,750,control,,2017,manuell,90,almera,150000,9,,nissan,ja
VW_Golf_IV_4_SR_1.6_mit_Neu_Tuev,privat,Angebot,1999,control,,2018,manuell,101,golf,150000,11,,volkswagen,
Nissan_Note_tekna_1_6_top_Ausstattung,privat,Angebot,4200,control,,2017,manuell,110,note,150000,10,benzin,nissan,nein
Peugeot_405___Liebhaber_Fahrzeug,privat,Angebot,1100,control,,2017,manuell,0,3_reihe,150000,2,benzin,peugeot,nein
Renault_Clio,privat,Angebot,1850,control,,2018,manuell,58,clio,150000,12,benzin,renault,
Bitte_Preis_Vorschlag!!!,privat,Angebot,4700,control,,2017,manuell,0,yaris,150000,2,benzin,toyota,nein
Renault_Clio_1.5_dci_TÜV_11/17__Gruene_Umweltplakette__Klima,privat,Angebot,1699,control,,2017,manuell,0,clio,150000,10,diesel,renault,nein
Nissan_Primera_2.0_Fliessheck,privat,Angebot,900,control,,2017,manuell,131,primera,150000,8,,nissan,ja
Dringend_Auto_gesucht,privat,Angebot,0,control,,2018,,0,,5000,0,,sonstige_autos,nein
Opel_Astra_H_1.7cdti_Leder_Sitzheizung_Tempomat,privat,Angebot,4700,control,,2017,manuell,101,astra,125000,12,,opel,nein
Seat_Ibiza_schwarz_Euro_4,privat,Angebot,2700,control,,2017,manuell,0,ibiza,150000,3,benzin,seat,nein
Ford_Focus_2_0_16V,privat,Angebot,1000,control,,2017,manuell,136,focus,150000,3,,ford,nein
Insignia_eco_Tec_Sports_Tourer,privat,Angebot,9300,control,,2017,manuell,131,insignia,150000,0,,opel,nein
Bmw_e36_fuer_Bastler_oder_zum_schlachten,privat,Angebot,700,control,,2017,,0,3er,150000,0,,bmw,
Seat_Ibiza_75_PS_blaumetallic_TÜV_04/2018__NEU_,privat,Angebot,1599,control,,2018,manuell,75,ibiza,150000,1,benzin,seat,nein
OPEL_COMBO_ERDGAS_CNG_+_QUQUQ_BOX_WOHNMOBIL_CAMPINGBOX_KOCHER,privat,Angebot,5555,control,,2017,manuell,94,combo,150000,0,cng,opel,
Renault_Espace_2.2_Diesel__gruene_Umweltplakette,privat,Angebot,1950,control,,2017,manuell,150,espace,150000,10,diesel,renault,nein
Suche_dringend_Fahrzeug_bis_1000€_TÜV_NEU,privat,Angebot,1000,control,,2018,manuell,0,,150000,1,benzin,sonstige_autos,
Hyundai__i30_Klima,privat,Angebot,5900,control,,2017,manuell,109,i_reihe,80000,1,,hyundai,nein
Golf_4_1J1,privat,Angebot,2500,control,,2018,manuell,75,golf,125000,1,benzin,volkswagen,nein
Fiat_bravo_1_9_JTD,privat,Angebot,899,control,,2017,manuell,101,bravo,150000,0,,fiat,
Opel_Astra_f_Caravan,privat,Angebot,450,control,,2017,manuell,75,astra,5000,0,benzin,opel,
Seat_Arosa_TÜV_NEU!!!_1.Hand,privat,Angebot,2999,control,,2018,,0,arosa,125000,1,benzin,seat,nein
Audi_A4/S4_B7_8E__2_0_TDI_Sline_/Checkheft/_gepflegt,privat,Angebot,5590,control,,2017,manuell,140,a4,150000,1,diesel,audi,nein
Mercedes_a_140,privat,Angebot,580,control,,2018,manuell,82,a_klasse,150000,4,,mercedes_benz,nein
Opel_Astra_Caravan_1.3_CDTI_DPF_Edition_AHK_Klima_TueV,privat,Angebot,4799,control,,2017,,90,astra,150000,9,diesel,opel,nein
Nissan_Micra__67€_steuern__technisch_top,privat,Angebot,900,control,,2017,manuell,58,micra,150000,5,benzin,nissan,nein
Ford_Fiesta_mit_TÜV,privat,Angebot,2000,control,,2017,manuell,0,fiesta,150000,11,benzin,ford,
Chrysler_pt_cruiser_2.2_diesel,privat,Angebot,1300,control,,2017,manuell,130,ptcruiser,150000,12,diesel,chrysler,
Focus_Focus_1.6...2_HAND.TOP_ZUSTAND.LETZE_PREIS,privat,Angebot,2100,control,,2017,,0,focus,150000,0,benzin,ford,
Tausche_gegen_Vw_touran_oder_Kombi_diesel,privat,Angebot,0,control,,2017,manuell,160,scirocco,125000,9,benzin,volkswagen,nein
E_280_7G_TRONIC_Eleganze_Festlief,privat,Angebot,9000,control,,2017,automatik,0,e_klasse,150000,7,benzin,mercedes_benz,nein
Renault_Megane_Bose_Edition__Leasinguebernahme_oder_Kauf_,privat,Angebot,265,control,,2017,automatik,110,megane,30000,4,diesel,renault,
Mercedes_Benz_B_200_CDI_DPF,privat,Angebot,8700,control,,2017,automatik,141,b_klasse,90000,7,diesel,mercedes_benz,
Opel_Tigra_Tausche_gegen_???,privat,Angebot,400,control,,2017,manuell,90,tigra,150000,0,,opel,ja
Opel_Zafira,privat,Angebot,1200,control,,2017,manuell,101,zafira,150000,0,diesel,opel,
A_Klasse_210_AMG_Style,privat,Angebot,2200,control,,2018,automatik,140,a_klasse,150000,0,benzin,mercedes_benz,
190_D_mit_Standheizung,privat,Angebot,2800,control,,2018,manuell,75,andere,150000,3,diesel,mercedes_benz,
Opel_Insignia_2.0CDTI_Cosmo_Ecoflex,privat,Angebot,11555,control,,2017,manuell,160,insignia,150000,12,,opel,
Audi_A4_2.5TDI_Cabrio_S_line_ORGI_79.800km,privat,Angebot,11400,control,,2017,manuell,163,,80000,12,,audi,
Audi_A3_2_0_Tdi,privat,Angebot,4200,control,,2017,automatik,0,a3,150000,2,,audi,nein
Auto_mit_Gas,privat,Angebot,850,control,,2017,manuell,122,c_klasse,150000,5,lpg,mercedes_benz,ja
Ford_fiesta_ST,privat,Angebot,6500,control,,2018,manuell,150,,50000,0,benzin,ford,
Citroën_C3_1.4,privat,Angebot,2400,control,,2017,manuell,0,c3,150000,6,benzin,citroen,nein
BMW_118i_Urban_Line_mit_AHK___Comfort_Paket___Klimaautomatik,privat,Angebot,15999,control,,2017,manuell,170,1er,50000,2,benzin,bmw,nein
Renault_clio,privat,Angebot,1250,control,,2018,manuell,0,clio,150000,1,benzin,renault,
Verkaufe_Golf_4,privat,Angebot,750,control,,2017,manuell,75,golf,150000,11,benzin,volkswagen,
OPEL_Astra_1.6_selection_2._Hand_klimaautomatik_Rentnerfahrzeug,privat,Angebot,1999,control,,2017,manuell,84,astra,5000,8,benzin,opel,nein
VW_Golf_4_1.4_Tuev_2/18_Motor_neu_Überholt_!!!,privat,Angebot,1400,control,,2018,manuell,75,golf,150000,5,benzin,volkswagen,
Golf_4_Bj.98,privat,Angebot,0,control,,2017,manuell,75,,150000,4,,volkswagen,nein
Mazda_323_C_BA,privat,Angebot,950,control,,2018,manuell,88,3_reihe,150000,0,benzin,mazda,
Skoda_Octavia_Kombi_1.6,privat,Angebot,8750,control,,2017,manuell,102,octavia,100000,12,benzin,skoda,nein
Clio_2_RS_Phase_2,privat,Angebot,4500,control,,2017,manuell,169,clio,150000,4,benzin,renault,
Alfa_Romeo_156_Silber,privat,Angebot,350,control,,2017,,0,156,150000,0,benzin,alfa_romeo,ja
Opel_Astra_1_6_TÜV_neu_5_Tuerer_Klima,privat,Angebot,1699,control,,2018,,0,astra,150000,0,,opel,
Scenic_Expression_1_6_16V_3.18TÜV_Teilleder,privat,Angebot,2900,control,,2018,manuell,108,scenic,125000,2,,renault,nein
BMW_530_diesel_____voll.....,privat,Angebot,6900,control,,2017,automatik,0,,150000,5,,bmw,
Golf_7_1.4_tsi_blue_motion,privat,Angebot,11500,control,,2017,manuell,140,golf,30000,10,,volkswagen,nein
Mercedes_C180_benziner,privat,Angebot,750,control,,2017,,122,c_klasse,150000,10,benzin,mercedes_benz,
Audi_A4_Avant_1.9_TDI_DPF_extras,privat,Angebot,6999,control,,2017,manuell,116,a4,150000,4,diesel,audi,nein
Opel_Corsa_C_1_0_12V_aus_2__Hand_Klimaanlage,privat,Angebot,2700,control,,2017,manuell,60,corsa,125000,0,,opel,
1.9_DTI_DiESEL.____STANDHAISUNG.__6__GANK___SITZHEIZUNG_,privat,Angebot,4399,control,,2018,,0,galaxy,150000,11,,ford,
Opel_Vectra_mit_Getriebeschaden,privat,Angebot,500,control,,2017,automatik,100,vectra,150000,0,benzin,opel,
Opel_Astra_zu_verkaufen,privat,Angebot,1200,control,,2018,manuell,0,astra,80000,0,,opel,
Mercedes_Benz_CLS_320_disel_7_G_Tronic_DPF,privat,Angebot,9999,control,,2018,automatik,224,,150000,5,diesel,mercedes_benz,
Opel_Corsa_B,privat,Angebot,450,control,,2018,,0,corsa,150000,0,,opel,
Audi_A4_2.0_TFSI_Kombi_TOP_gepflegt,privat,Angebot,14900,control,,2017,manuell,0,a4,125000,2,benzin,audi,nein
Opel_Corsa_B_tuev2017_km100000,privat,Angebot,850,control,,2017,,0,corsa,100000,0,benzin,opel,nein
BMW_E46_Compact,privat,Angebot,5100,control,,2017,automatik,192,3er,150000,2,benzin,bmw,nein
